Cod_Funcao,Desc_Func
-1,Não Informado
Al.CFOAer,Alunos CFOAeronáutica
Aspirante,Aspirantes
CA-I,Cargo Comissionado de Assessoria
CA-II,Cargo Comissionado de Assessoria
CA-III,Cargo Comissionado de Assessoria
Cargos Nat,Cargos Natureza Especial
CAS-I,Cargo Comissionado de Assistência
CAS-II,Cargo Comissionado de Assistência
CCD-I,Cargo Comissionado de Direção
CCD-II,Cargo Comissionado de Direção
CCT-I,Cargo Comissionado Técnico
CCT-II,Cargo Comissionado Técnico
CCT-III,Cargo Comissionado Técnico
CCT-IV,Cargo Comissionado Técnico
CCT-V,Cargo Comissionado Técnico
CCX-0110,CCX-0110
CCX-0113,CCX-0113
CCX-0115,CCX-0115
CCX-0117,CCX-0117
CCX-0118,CCX-0118
CCX-0207,CCX-0207
CCX-0210,CCX-0210
CCX-0213,CCX-0213
CCX-0215,CCX-0215
CCX-0313,CCX-0313
CD-0001,Cargo Comissionado de Direção
CD-0002,Cargo Comissionado de Direção
CD-0003,Cargo Comissionado de Direção
CD-0004,Cargo Comissionado de Direção
CGE-0001,Cargo de Gerência Executiva
CGE-0002,Cargo de Gerência Executiva
CGE-0003,Cargo de Gerência Executiva
CGE-0004,Cargo de Gerência Executiva
CNE-0001,Cargo de Natureza Especial
Comandante Aeronáutica,Comandante da Aeronáutica
Comandante Exército,Comandante do Exército
Comandante Marinha,Comandante da Marinha
DAS-1011,Cargo de Assessoramento
DAS-1012,Cargo de Assessoramento
DAS-1013,Cargo de Coordenação
DAS-1014,Cargo de Coordenação
DAS-1015,Cargo de Direção
DAS-1016,Cargo Superior
DAS-1021,Cargo de Assessoramento
DAS-1022,Cargo de Assessoramento
DAS-1023,Cargo de Coordenação
DAS-1024,Cargo de Coordenação
DAS-1025,Cargo de Direção
DAS-1026,Cargo de Direção
DAS-1033,
DAS-1034,DAS-1034
DAS-1035,Cargo de Direção
FCT-01,Função Comissionada Técnica
FCT-02,Função Comissionada Técnica
FCT-03,Função Comissionada Técnica
FCT-04,Função Comissionada Técnica
FCT-05,Função Comissionada Técnica
FCT-07,Função Comissionada Técnica
FCT-08,Função Comissionada Técnica
FCT-09,Função Técnica Comissionada
FCT-10,Função Técnica Comissionada
FCT-11,Função Técnica Comissionada
FCT-12,Função Técnica Comissionada
FCT-13,Função Técnica Comissionada
FCT-14,Função Técnica Comissionada
FCT-15,Função Técnica Comissionada
FEX-0211,FEX-0211
FG-0001,FG-0001
FG-0002,FG-0002
FG-0003,FG-0003
FG-0004,FG-0004
FG-0005,FG-0005
FGR-1,FGR-1
FGR-2,FGR-2
FGR-3,FGR-3
FPE-1011,FPE-1011
FPE-1012,FPE-1012
FPE-1013,FPE-1013
FPE-1014,FPE-1014
FPE-1015,FPE-1015
FPE-1021,FPE-1021
FPE-1022,FPE-1022
FPE-1023,FPE-1023
FPE-1024,FPE-1024
FPE-1031,FPE-1031
FPE-1034,FPE-1034
FPE-1035,FPE-1035
FPE-1042,FPE-1042
FPE-1043,FPE-1043
FUC-0001,FUC-0001
GR-02,
GSE-0001,GSE-0001
GSE-0003,GSE-0003
GSE-0004,GSE-0004
GSE-0005,GSE-0005
GSE-0006,GSE-0006
GSE-0007,GSE-0007
GTS-002,Gratificação Temporária - SIPAM
NES-0007,Cargo de Natureza Especial
NES-0008,Cargos de Natureza Especial
NES-0017,Cargo de Natureza Especial
NES-0029,Cargos de Natureza Especial
NES-0052,Cargo de natureza Especial
NES-0080,Cargo de Natureza Especial
NES-0081,Cargo de Natureza Especial
NES-0086,NES-0086
NES-0089,NES-0089
Of.General,Oficiais Generais
OfIntermed,OfIntermed
OfSubalter,OfSubalter
OfSuperior,OfSuperior
Praça Esp,Praças Especiais
Praças,Praças
RGA-0002,RGA-0002
RGA-0003,RGA-0003
RGA-0004,RGA-0004
RGA-0005,RGA-0005
RMA-0002,RMA-0002
RMA-0004,RMA-0004
RMA-0005,RMA-0005
RMP-0001,Nível I - RMP01
RMP-0002,Nível II - RMP02
RMP-0004,Nível IV - RMP04
Sargento,Sargentos
Sigilosa,Informações protegidas por sigilo
Suboficial,Suboficial
Subtenente,Subtenentes
